category,topic,characteristic,city_of_toronto,agincourt_north,agincourt_south-malvern_west,alderwood,annex,banbury-don_mills,bathurst_manor,bay_street_corridor,bayview_village,bayview_woods-steeles,bedford_park-nortown,beechborough-greenbrook,bendale,birchcliffe-cliffside,black_creek,blake-jones,briar_hill-belgravia,bridle_path-sunnybrook-york_mills,broadview_north,brookhaven-amesbury,cabbagetown-south_st_james_town,caledonia-fairbank,casa_loma,centennial_scarborough,church-yonge_corridor,clairlea-birchmount,clanton_park,cliffcrest,corso_italia-davenport,danforth,danforth_east_york,don_valley_village,dorset_park,dovercourt-wallace_emerson-junction,downsview-roding-cfb,dufferin_grove,east_end-danforth,edenbridge-humber_valley,eglinton_east,elms-old_rexdale,englemount-lawrence,eringate-centennial-west_deane,etobicoke_west_mall,flemingdon_park,forest_hill_north,forest_hill_south,glenfield-jane_heights,greenwood-coxwell,guildwood,henry_farm,high_park_north,high_park-swansea,highland_creek,hillcrest_village,humber_heights-westmount,humber_summit,humbermede,humewood-cedarvale,ionview,islington-city_centre_west,junction_area,keelesdale-eglinton_west,kennedy_park,kensington-chinatown,kingsview_village-the_westway,kingsway_south,l'amoreaux,lambton_baby_point,lansing-westgate,lawrence_park_north,lawrence_park_south,leaside-bennington,little_portugal,long_branch,malvern,maple_leaf,markland_wood,milliken,mimico,morningside,moss_park,mount_dennis,mount_olive-silverstone-jamestown,mount_pleasant_east,mount_pleasant_west,new_toronto,newtonbrook_east,newtonbrook_west,niagara,north_riverdale,north_st_james_town,o'connor-parkview,oakridge,oakwood_village,old_east_york,palmerston-little_italy,parkwoods-donalda,pelmo_park-humberlea,playter_estates-danforth,pleasant_view,princess-rosethorn,regent_park,rexdale-kipling,rockcliffe-smythe,roncesvalles,rosedale-moore_park,rouge,runnymede-bloor_west_village,rustic,scarborough_village,south_parkdale,south_riverdale,st_andrew-windfields,steeles,stonegate-queensway,tam_o'shanter-sullivan,taylor-massey,the_beaches,thistletown-beaumond_heights,thorncliffe_park,trinity-bellwoods,university,victoria_village,waterfront_communities-the_island,west_hill,west_humber-clairville,westminster-branson,weston,weston-pelham_park,wexford/maryvale,willowdale_east,willowdale_west,willowridge-martingrove-richview,woburn,woodbine_corridor,woodbine-lumsden,wychwood,yonge-eglinton,yonge-st_clair,york_university_heights,yorkdale-glen_park
Population,Population and dwellings,population_2019,2731571,29113,23757,12054,30526,27695,15873,25797,21396,13154,23236,6577,29960,22291,21737,7727,14257,9266,11499,17757,11669,9955,10968,13362,31340,26984,16472,15935,14133,9666,17180,27051,25003,36625,35052,11785,21381,15535,22776,9456,22372,18588,11848,21933,12806,10732,30491,14417,9917,15723,22162,23925,12494,16934,10948,12416,15545,14365,13641,43965,14366,11058,17123,17945,22000,9271,43993,7985,16164,14607,15179,16828,15559,10084,43794,10111,10554,26572,33964,17455,20506,13593,32954,16775,29658,11463,16097,23831,31180,11916,18615,18675,13845,21210,9233,13826,34805,10722,7804,15818,11051,10803,10529,22246,14974,20923,46496,10070,9941,16724,21849,27876,17812,24623,25051,27446,15683,21567,10360,21108,16556,7607,17510,65913,27392,33312,26274,17992,11098,27917,50434,16936,22156,53485,12541,7865,14349,11817,12528,27593,14804
Crime,Crimes by year,assault_2016,18508,77,136,39,257,84,64,727,84,35,36,61,249,196,260,69,64,20,55,109,121,77,40,48,543,244,62,106,71,56,44,132,195,248,371,97,167,30,201,61,129,66,46,153,26,10,305,98,43,72,89,107,62,41,30,118,114,52,101,219,104,49,218,340,125,26,169,25,68,22,20,33,120,60,280,45,24,88,242,172,473,107,270,22,106,99,81,140,250,54,139,136,140,131,37,69,181,64,83,58,30,97,77,145,110,97,145,37,65,192,231,236,48,43,76,98,97,86,39,87,166,122,133,888,423,307,131,192,84,185,145,97,102,365,79,33,86,73,39,361,174
Crime,Crimes by year,assault_2017,18845,71,115,21,248,109,51,852,67,33,48,60,261,159,228,67,70,26,65,109,90,74,35,48,694,243,68,114,93,63,74,120,198,251,421,89,175,28,198,58,110,61,51,122,37,27,287,78,41,74,99,105,64,52,31,116,157,38,93,216,88,61,195,416,105,20,175,29,85,34,23,35,92,67,289,26,24,80,340,163,446,102,273,44,125,101,60,132,260,69,158,135,163,118,39,90,170,53,84,53,28,110,87,114,103,99,185,37,59,152,229,243,45,40,95,124,107,111,51,99,138,152,83,905,400,307,104,190,75,188,148,92,103,400,75,32,55,73,27,344,161
Crime,Crimes by year,assault_2018,19451,79,114,30,246,77,58,808,60,49,42,45,270,203,191,62,84,31,62,93,98,69,41,46,766,288,87,132,95,83,80,120,197,250,435,122,177,24,181,51,98,34,45,145,31,19,304,116,47,81,101,84,43,62,37,109,119,47,90,236,126,78,215,423,97,30,162,29,75,20,15,33,93,57,272,37,24,78,486,139,543,88,254,34,119,105,63,177,264,63,169,140,167,123,59,86,142,76,68,37,21,123,78,135,83,123,184,36,67,178,220,304,55,30,87,133,123,94,50,93,143,121,112,910,420,322,114,167,85,196,172,107,78,369,101,37,76,78,34,357,175
Crime,Crimes by year,assault_2019,20426,79,123,36,288,74,50,916,66,45,62,67,266,201,205,70,78,44,77,100,126,81,50,48,879,282,89,133,95,76,83,148,166,270,442,93,186,33,194,67,116,44,51,152,39,26,344,129,28,85,87,115,58,69,35,118,161,46,79,222,85,61,224,373,91,28,195,27,72,38,30,31,89,59,333,31,17,99,326,183,637,89,268,47,140,111,66,171,268,79,233,146,154,152,46,100,158,79,79,44,27,156,62,151,97,117,182,44,59,175,251,261,58,45,82,107,122,81,74,115,127,124,132,844,431,265,116,196,113,232,168,112,101,427,98,30,74,103,37,370,209
Crime,Crimes by year,autotheft_2016,3265,16,26,17,19,7,25,27,14,18,30,9,46,16,50,4,16,11,8,28,8,13,5,5,23,44,49,10,7,5,12,28,44,30,88,7,21,29,22,16,23,30,15,4,7,9,63,13,4,10,7,11,8,22,16,62,45,17,5,135,19,15,12,30,42,9,27,1,27,13,20,4,13,13,36,17,13,35,34,13,16,15,43,9,4,10,4,48,25,6,16,7,11,24,6,12,26,24,6,8,24,3,22,36,12,12,21,10,8,9,23,27,10,30,12,22,7,7,13,4,24,13,20,38,15,321,26,41,16,42,46,12,49,31,11,1,18,4,7,105,41
Crime,Crimes by year,autotheft_2017,3523,32,35,14,23,16,22,24,22,22,48,9,33,12,32,7,10,4,6,22,6,8,7,8,27,40,28,18,12,4,10,28,42,29,83,11,24,17,28,12,32,29,9,12,13,12,50,13,5,15,9,13,14,17,25,83,58,22,6,97,24,29,28,25,36,21,25,9,26,26,14,5,17,14,56,8,9,61,41,12,22,15,47,10,11,12,9,36,22,10,14,10,12,13,0,13,44,47,4,17,19,7,22,50,19,4,33,20,11,21,19,37,15,31,32,18,5,10,23,7,28,7,14,59,31,326,20,45,7,67,23,14,42,47,7,0,12,2,2,92,52
Crime,Crimes by year,autotheft_2018,4721,42,36,25,33,27,32,48,9,7,51,11,55,24,53,9,36,9,7,45,17,13,16,10,68,46,44,23,12,10,12,26,80,41,113,17,30,18,9,32,41,27,8,8,20,23,64,18,2,16,20,21,20,26,15,106,56,24,3,160,38,23,30,23,53,9,31,16,16,39,31,44,12,11,64,14,20,91,22,12,48,16,76,13,13,12,11,54,21,11,10,20,16,27,9,21,20,67,9,13,21,9,57,50,21,30,55,26,14,20,17,40,21,23,31,32,12,30,42,9,21,9,13,63,27,505,35,58,13,81,37,15,53,59,11,2,22,16,6,92,63
Crime,Crimes by year,autotheft_2019,5186,42,62,14,30,42,24,50,37,18,66,13,55,25,71,7,19,11,3,34,22,11,6,19,54,66,42,19,15,7,9,21,60,39,161,6,16,23,28,28,23,41,10,8,26,20,86,25,3,23,24,30,27,27,20,135,68,16,8,172,31,33,24,39,40,28,36,11,32,18,28,32,12,12,71,26,9,83,60,8,47,22,88,16,11,22,27,58,33,21,21,29,10,38,4,12,32,72,9,24,29,21,50,36,13,27,87,29,37,18,20,40,35,31,34,25,12,20,50,13,25,9,18,61,45,482,34,49,15,88,57,31,42,60,9,7,7,13,6,144,61
Crime,Crimes by year,breakandenter_2016,6398,49,61,26,123,57,33,120,33,33,97,11,57,78,27,23,31,50,15,31,51,13,19,19,145,86,41,57,15,41,43,65,70,78,52,27,77,46,65,10,59,28,14,14,19,29,30,65,18,13,28,36,35,34,23,41,24,27,17,105,32,14,46,80,34,27,50,9,41,27,44,32,40,28,65,17,19,67,48,19,130,30,34,16,40,42,42,53,71,41,53,34,58,22,26,40,46,24,25,32,33,25,16,38,38,59,75,23,17,34,71,148,57,48,49,61,43,77,23,24,46,51,23,212,72,131,20,44,16,76,78,38,35,80,49,12,29,19,12,98,66
